Marca temporal;Dirección de correo electrónico;Nombre y apellidos;Género;Escuela;Edad ;Peso (kg sin decimales);Tiempo entrenando;EPS;Inscripción a ;Categoría formas;¿Es usted cinta negra?;;Nombre completo acudiente;Teléfono acudiente
6/21/2019 15:49:23;mlmariacami2@gmail.com;Karol;Femenino;Zhang Fei;6;20;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694664
6/21/2019 15:49:23;mlmariacami2@gmail.com;Sofia;Femenino;Zhang Fei;7;20;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;No;3169634655;Constanza Restrepo ;3173694664
6/23/2019 15:49:23;mlmariacami2@gmail.com;Orrego;Masculino;Zhang Fei;8;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694666
6/27/2019 15:49:23;mlmariacami2@gmail.com;Miguel;Masculino;Zhang Fei;9;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;No;3169634655;Constanza Restrepo ;3173694670
6/28/2019 15:49:23;mlmariacami2@gmail.com;Luis Carlos;Masculino;Zhang Fei;10;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;No;3169634655;Constanza Restrepo ;3173694671
6/29/2019 15:49:23;mlmariacami2@gmail.com;Mabel;Femenino;Zhang Fei;10;50;1-3 años;Comfenalco;Sanda, Formas;Forma con arma;No;3169634655;Constanza Restrepo ;3173694672
6/22/2019 15:49:23;mlmariacami2@gmail.com;Andrés;Masculino;Zhang Fei;13;45;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694665
6/23/2019 15:49:23;mlmariacami2@gmail.com;Alejandro;Masculino;Zhang Fei;12;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;No;3169634655;Constanza Restrepo ;3173694666
6/26/2019 15:49:23;mlmariacami2@gmail.com;Javier;Masculino;Zhang Fei;14;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694669
6/20/2019 15:49:23;mlmariacami2@gmail.com;Camila;Femenino;Zhang Fei;18;45;0-1 año;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;No;3169634655;Constanza Restrepo ;3173694663
6/20/2019 15:49:23;mlmariacami2@gmail.com;David;Masculino;Zhang Fei;18;50;1-3 años;Comfenalco;Sanda, Formas;Forma con arma;No;3169634655;Constanza Restrepo ;3173694663
6/27/2019 15:49:23;mlmariacami2@gmail.com;Carlos;Masculino;Zhang Fei;18;50;0-1 año;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694670
6/25/2019 15:49:23;mlmariacami2@gmail.com;Mauricio;Masculino;Zhang Fei;20;60;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;No;3169634655;Constanza Restrepo ;3173694668
6/29/2019 15:49:23;mlmariacami2@gmail.com;Juan Carlos;Masculino;Zhang Fei;20;75;0-1 año;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694672
6/25/2019 15:49:23;mlmariacami2@gmail.com;Jazmin;Femenino;Zhang Fei;20;65;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;No;3169634655;Constanza Restrepo ;3173694668
6/26/2019 15:49:23;mlmariacami2@gmail.com;Aladdin;Masculino;Zhang Fei;20;70;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694669
6/25/2019 15:49:23;mlmariacami2@gmail.com;Valeria;Femenino;Zhang Fei;20;65;3 años en adelante;Comfenalco;Sanda, Formas;Forma con arma;Sí;3169634655;Constanza Restrepo ;3173694668
6/26/2019 15:49:23;mlmariacami2@gmail.com;Sergio;Masculino;Zhang Fei;20;68;1-3 años;Comfenalco;Sanda, Formas;Forma con arma;No;3169634655;Constanza Restrepo ;3173694669
6/22/2019 15:49:23;mlmariacami2@gmail.com;Daniel;Masculino;Zhang Fei;21;70;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694665
6/22/2019 15:49:23;mlmariacami2@gmail.com;Cesar;Masculino;Zhang Fei;21;71;3 años en adelante;Comfenalco;Sanda, Formas;Forma con arma;Sí;3169634655;Constanza Restrepo ;3173694665
6/24/2019 15:49:23;mlmariacami2@gmail.com;Sebastian;Masculino;Zhang Fei;22;66;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694667
6/24/2019 15:49:23;mlmariacami2@gmail.com;Andresito;Masculino;Zhang Fei;22;60;3 años en adelante;Comfenalco;Sanda, Formas;Forma con arma;Sí;3169634655;Constanza Restrepo ;3173694667
6/24/2019 15:49:23;mlmariacami2@gmail.com;Ariel;Femenino;Zhang Fei;35;65;0-1 año;Comfenalco;Sanda, Formas;Forma sin arma;No;3169634655;Constanza Restrepo ;3173694667
6/24/2019 15:49:23;mlmariacami2@gmail.com;Manuel;Masculino;Zhang Fei;35;55;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma, Forma con arma;Sí;3169634655;Constanza Restrepo ;3173694667
